county,precinct,office,district,party,candidate,absentee,early_votes,election_day,votes
County of Hawaii,03-02,Governor,,R,AIONA / AHU,60,1,0,61
County of Hawaii,03-02,Governor,,L,DAVIS / MARLIN,3,1,0,4
County of Hawaii,03-02,Governor,,I,HANNEMANN / CHANG,33,2,0,35
County of Hawaii,03-02,Governor,,D,IGE / TSUTSUI,172,3,0,175
County of Hawaii,03-02,State Representative,3,R,"DICKSON, Bill",22,1,0,23
County of Hawaii,03-02,State Representative,3,L,"FOGEL, Fred F.",14,1,0,15
County of Hawaii,03-02,State Representative,3,D,"ONISHI, Richard H.K.",219,5,0,224
County of Hawaii,03-03,U.S. Senate Vacancy,,R,"CAVASSO, Cam",25,1,0,26
County of Hawaii,03-03,U.S. Senate Vacancy,,L,"KOKOSKI, Michael",0,0,0,0
County of Hawaii,03-03,U.S. Senate Vacancy,,D,"SCHATZ, Brian",57,0,0,57
County of Hawaii,03-03,U.S. House,2,R,"CROWLEY, Kawika",17,1,0,18
County of Hawaii,03-03,U.S. House,2,D,"GABBARD, Tulsi",68,0,0,68
County of Hawaii,03-03,U.S. House,2,L,"KENT, Joe",1,0,0,1
County of Hawaii,03-03,Governor,,R,AIONA / AHU,38,1,0,39
County of Hawaii,03-03,Governor,,L,DAVIS / MARLIN,0,0,0,0
County of Hawaii,03-03,Governor,,I,HANNEMANN / CHANG,14,0,0,14
County of Hawaii,03-03,Governor,,D,IGE / TSUTSUI,36,0,0,36
County of Hawaii,03-03,State Representative,3,R,"DICKSON, Bill",14,1,0,15
County of Hawaii,03-03,State Representative,3,L,"FOGEL, Fred F.",4,0,0,4
County of Hawaii,03-03,State Representative,3,D,"ONISHI, Richard H.K.",65,0,0,65
County of Hawaii,03-04,U.S. Senate Vacancy,,R,"CAVASSO, Cam",156,73,219,448
County of Hawaii,03-04,U.S. Senate Vacancy,,L,"KOKOSKI, Michael",29,15,64,108
County of Hawaii,03-04,U.S. Senate Vacancy,,D,"SCHATZ, Brian",611,213,712,1536
County of Hawaii,03-04,U.S. House,2,R,"CROWLEY, Kawika",106,58,167,331
County of Hawaii,03-04,U.S. House,2,D,"GABBARD, Tulsi",665,236,762,1663
County of Hawaii,03-04,U.S. House,2,L,"KENT, Joe",34,8,62,104
County of Hawaii,03-04,Governor,,R,AIONA / AHU,236,99,309,644
County of Hawaii,03-04,Governor,,L,DAVIS / MARLIN,30,10,69,109
County of Hawaii,03-04,Governor,,I,HANNEMANN / CHANG,100,44,139,283
County of Hawaii,03-04,Governor,,D,IGE / TSUTSUI,454,153,492,1099
County of Hawaii,03-04,State Representative,3,R,"DICKSON, Bill",122,53,170,345
County of Hawaii,03-04,State Representative,3,L,"FOGEL, Fred F.",98,49,166,313
County of Hawaii,03-04,State Representative,3,D,"ONISHI, Richard H.K.",555,197,639,1391
County of Hawaii,03-05,U.S. Senate Vacancy,,R,"CAVASSO, Cam",85,33,144,262
County of Hawaii,03-05,U.S. Senate Vacancy,,L,"KOKOSKI, Michael",21,6,49,76
County of Hawaii,03-05,U.S. Senate Vacancy,,D,"SCHATZ, Brian",261,77,407,745
County of Hawaii,03-05,U.S. House,2,R,"CROWLEY, Kawika",71,24,99,194
County of Hawaii,03-05,U.S. House,2,D,"GABBARD, Tulsi",294,88,446,828
County of Hawaii,03-05,U.S. House,2,L,"KENT, Joe",15,6,53,74
County of Hawaii,03-05,Governor,,R,AIONA / AHU,118,35,172,325
County of Hawaii,03-05,Governor,,L,DAVIS / MARLIN,17,5,46,68
County of Hawaii,03-05,Governor,,I,HANNEMANN / CHANG,62,20,91,173
County of Hawaii,03-05,Governor,,D,IGE / TSUTSUI,189,59,297,545
County of Hawaii,03-05,State Representative,3,R,"DICKSON, Bill",64,25,97,186
County of Hawaii,03-05,State Representative,3,L,"FOGEL, Fred F.",46,17,102,165
County of Hawaii,03-05,State Representative,3,D,"ONISHI, Richard H.K.",252,73,386,711
County of Hawaii,03-06,U.S. Senate Vacancy,,R,"CAVASSO, Cam",82,17,138,237
County of Hawaii,03-06,U.S. Senate Vacancy,,L,"KOKOSKI, Michael",14,1,38,53
County of Hawaii,03-06,U.S. Senate Vacancy,,D,"SCHATZ, Brian",265,66,377,708
County of Hawaii,03-06,U.S. House,2,R,"CROWLEY, Kawika",59,12,83,154
County of Hawaii,03-06,U.S. House,2,D,"GABBARD, Tulsi",285,70,434,789
County of Hawaii,03-06,U.S. House,2,L,"KENT, Joe",12,2,37,51
County of Hawaii,03-06,Governor,,R,AIONA / AHU,100,26,161,287
County of Hawaii,03-06,Governor,,L,DAVIS / MARLIN,11,1,27,39
County of Hawaii,03-06,Governor,,I,HANNEMANN / CHANG,47,6,62,115
County of Hawaii,03-06,Governor,,D,IGE / TSUTSUI,211,52,311,574
County of Hawaii,03-06,State Representative,3,R,"DICKSON, Bill",57,13,97,167
County of Hawaii,03-06,State Representative,3,L,"FOGEL, Fred F.",71,10,130,211
County of Hawaii,03-06,State Representative,3,D,"ONISHI, Richard H.K.",214,57,308,579
County of Hawaii,03-07,U.S. Senate Vacancy,,R,"CAVASSO, Cam",19,10,23,52
County of Hawaii,03-07,U.S. Senate Vacancy,,L,"KOKOSKI, Michael",2,4,4,10
